name,scientific_name,description,uses,preparation,location,image_url,family,parts_used,properties,precautions,hindi_name,sanskrit_name,english_name,regional_names,chemical_compounds,therapeutic_actions,dosage,season,habitat
Manjistha,Rubia cordifolia,"Blood purifying herb for skin and lymphatic health","Skin diseases blood purification lymphatic congestion","Root powder decoction oil","India Himalayas","https://example.com/manjistha.jpg","Rubiaceae","Root","Cooling bitter astringent","May cause reddish urine; generally safe","Manjistha","Manjishtha","Indian Madder","Manjitti (Tamil) Manjistha (Bengali)","Purpurin alizarin rubiadin","Blood purifier lymphatic tonic skin tonic","3-6g powder daily","Post monsoon","Himalayan regions"
Kutki,Picrorhiza kurroa,"Liver protective herb from high altitudes","Liver disorders jaundice fever digestive issues","Root powder capsules decoction","Himalayas","https://example.com/kutki.jpg","Plantaginaceae","Root rhizome","Cooling bitter","Avoid during pregnancy; may cause nausea","Kutki","Katuki","Kutki","Kaduku (Tamil) Kutki (Bengali)","Picroside kutkoside apocynin","Hepatoprotective cholagogue bitter tonic","1-3g powder daily","Post monsoon","Alpine regions 3000-5000m"
Kalmegh,Andrographis paniculata,"Immune system supporting bitter herb","Fever flu immunity liver disorders skin diseases","Whole plant powder tablets juice","India Southeast Asia","https://example.com/kalmegh.jpg","Acanthaceae","Whole plant","Cooling very bitter","May cause gastric irritation; start with small doses","Kalmegh","Bhunimba","King of Bitters","Nilavembu (Tamil) Kalmegh (Bengali)","Andrographolide neoandrographolide","Immunomodulator hepatoprotective antipyretic","1-3g powder daily","Post monsoon","Tropical plains"
Vidanga,Embelia ribes,"Anthelmintic herb for parasitic infections","Intestinal worms parasites digestive disorders skin diseases","Fruit powder decoction","India Southeast Asia","https://example.com/vidanga.jpg","Primulaceae","Fruits","Warming pungent bitter","Avoid during pregnancy; may cause gastric irritation","Vidanga","Vidanga","False Black Pepper","Vaividang (Tamil) Vidanga (Bengali)","Embelin vilangin christembine","Anthelmintic antimicrobial digestive","2-4g powder daily","Winter","Hilly regions Western Ghats"
Haritaki,Terminalia chebula,"King of medicines with multiple therapeutic benefits","Constipation digestion respiratory disorders eye health","Fruit powder decoction","India Southeast Asia","https://example.com/haritaki.jpg","Combretaceae","Fruit","Cooling astringent sweet","May cause excessive bowel movements initially","Harad","Haritaki","Chebulic Myrobalan","Kadukkai (Tamil) Haritaki (Bengali)","Chebulinic acid gallotannins","Laxative rejuvenative digestive tonic","2-6g powder daily","Year round","Deciduous forests"
Bibhitaki,Terminalia bellirica,"One of triphala components for respiratory health","Respiratory disorders digestion hair health eye disorders","Fruit powder decoction","India Southeast Asia","https://example.com/bibhitaki.jpg","Combretaceae","Fruit","Cooling astringent sweet","Generally safe; may cause loose stools","Baheda","Bibhitaki","Bahera","Thani (Tamil) Bohera (Bengali)","Bellericanin gallic acid ellagic acid","Expectorant laxative hair tonic","3-6g powder daily","Year round","Deciduous forests"
Chirayata,Swertia chirayita,"Bitter tonic for fever and liver disorders","Fever malaria liver disorders skin diseases diabetes","Whole plant powder decoction","Himalayas","https://example.com/chirayata.jpg","Gentianaceae","Whole plant","Cooling very bitter","Avoid during pregnancy; may cause nausea","Chirayata","Kiratatikta","Chirayita","Nilavembu (Tamil) Chirata (Bengali)","Swertiamarin gentiopicroside xanthones","Antipyretic hepatoprotective bitter tonic","1-3g powder daily","Post monsoon","Temperate Himalayas 1200-3000m"
Pippali,Piper longum,"Respiratory tonic and digestive stimulant","Respiratory disorders digestion immunity cold cough","Fruit powder decoction milk preparation","India Indonesia","https://example.com/pippali.jpg","Piperaceae","Fruit","Warming pungent","May increase body heat; avoid in high pitta","Pippali","Pippali","Long Pepper","Thippili (Tamil) Pipul (Bengali)","Piperine piperlongumine alkaloids","Expectorant digestive stimulant immunomodulator","1-3g powder daily","Winter","Tropical regions"
Maricha,Piper nigrum,"Warming spice with digestive and respiratory benefits","Digestion respiratory disorders circulation cold","Fruit powder decoction","India Southeast Asia","https://example.com/blackpepper.jpg","Piperaceae","Fruit","Warming pungent","May cause gastric irritation in excess","Kali Mirch","Maricha","Black Pepper","Milagu (Tamil) Golmorich (Bengali)","Piperine chavicine essential oils","Digestive stimulant expectorant circulatory","500mg-1g daily","Year round","Tropical humid regions"
Jatamansi,Nardostachys jatamansi,"Nervine tonic for stress and sleep disorders","Anxiety insomnia stress depression epilepsy","Root powder oil decoction","Himalayas","https://example.com/jatamansi.jpg","Caprifoliaceae","Root rhizome","Cooling bitter sweet","May cause drowsiness; avoid during pregnancy","Jatamansi","Jatamansi","Spikenard","Jatamansi (Tamil) Jatamansi (Bengali)","Jatamansone nardol valeranone","Nervine sedative anxiolytic neuroprotective","1-3g powder daily","Post monsoon","Alpine Himalayas 3000-5000m"
Vacha,Acorus calamus,"Brain tonic and speech enhancer","Speech disorders memory concentration epilepsy","Root powder ghee preparation","Himalayas Europe","https://example.com/vacha.jpg","Acoraceae","Root rhizome","Warming pungent aromatic","Avoid during pregnancy; may be carcinogenic in large doses","Vacha","Vacha","Sweet Flag","Vasambu (Tamil) Bach (Bengali)","Beta-asarone calamenol shyobunone","Nootropic nervine tonic speech enhancer","250-500mg powder daily","Post monsoon","Marshy areas water bodies"
Sariva,Hemidesmus indicus,"Blood purifier and cooling herb","Blood disorders skin diseases fever urinary disorders","Root powder decoction syrup","India","https://example.com/sariva.jpg","Apocynaceae","Root","Cooling sweet bitter","Generally safe; may cause allergic reactions","Sariva","Sariva","Indian Sarsaparilla","Nannari (Tamil) Anantamul (Bengali)","Coumarins saponins sterols","Blood purifier diuretic demulcent","3-6g powder daily","Year round","Tropical deciduous forests"
Yastimadhu,Glycyrrhiza glabra,"Sweet root for respiratory and digestive health","Cough respiratory disorders ulcers inflammation","Root powder decoction","Mediterranean Asia","https://example.com/yashtimadhu.jpg","Fabaceae","Root","Cooling sweet","May increase blood pressure; avoid in hypertension","Mulethi","Yashtimadhu","Licorice","Atimadhuram (Tamil) Yashtimadhu (Bengali)","Glycyrrhizin liquiritigenin isoliquiritigenin","Expectorant demulcent anti-inflammatory","2-4g powder daily","Year round","Temperate regions"
Pushkarmool,Inula racemosa,"Heart and respiratory tonic","Heart disorders respiratory conditions asthma","Root powder decoction","Himalayas","https://example.com/pushkarmool.jpg","Asteraceae","Root","Warming bitter pungent","Monitor heart conditions; avoid during pregnancy","Pushkarmool","Pushkaramula","Elecampane","Pushkarmool (Tamil) Pushkarmool (Bengali)","Inulin alantolactone isoalantolactone","Cardiotonic expectorant bronchodilator","1-3g powder daily","Post monsoon","Temperate Himalayas"
Devdaru,Cedrus deodara,"Sacred tree with anti-inflammatory properties","Arthritis skin disorders respiratory issues wounds","Wood oil bark","Himalayas","https://example.com/devdaru.jpg","Pinaceae","Wood bark","Warming aromatic","Generally safe; may cause skin irritation","Devdaru","Devadaru","Himalayan Cedar","Devadaru (Tamil) Devdar (Bengali)","Himachalol atlantol cedrol","Anti-inflammatory antiseptic expectorant","Oil for external use","Year round","Himalayan forests 1500-3200m"
Karpoor,Cinnamomum camphora,"Cooling aromatic for respiratory and skin conditions","Respiratory congestion skin inflammation pain","Crystals oil topical application","East Asia","https://example.com/camphor.jpg","Lauraceae","Wood","Cooling aromatic penetrating","For external use only; toxic if ingested","Kapur","Karpura","Camphor","Pachai Karpooram (Tamil) Karpur (Bengali)","Camphor borneol camphene","Counterirritant antimicrobial cooling","External application only","Year round","Subtropical forests"
Nagkesar,Mesua ferrea,"Sacred flower for bleeding disorders","Excessive bleeding dysentery skin disorders cough","Flower buds powder decoction","India Southeast Asia","https://example.com/nagkesar.jpg","Calophyllaceae","Flower buds","Cooling astringent bitter","Generally safe; may cause constipation","Nagkesar","Nagakeshara","Ironwood","Sirunagappu (Tamil) Nagkeshar (Bengali)","Mesuagin naringenin quercetin","Astringent hemostatic anti-inflammatory","1-3g powder daily","Spring","Evergreen forests"
Ushira,Vetiveria zizanioides,"Cooling root for fever and skin conditions","Fever burning sensation skin disorders urinary issues","Root powder decoction oil","India","https://example.com/vetiver.jpg","Poaceae","Root","Cooling sweet aromatic","Generally safe; may cause allergic reactions","Khus","Ushira","Vetiver","Vettiver (Tamil) Khas Khas (Bengali)","Vetiverol khusimol vetivone","Cooling diuretic nervine sedative","3-6g powder daily","Summer","Tropical grasslands"
Bala,Sida cordifolia,"Strength and vitality enhancing herb","Weakness debility arthritis urinary disorders","Whole plant powder oil","India","https://example.com/bala.jpg","Malvaceae","Whole plant","Warming sweet","Generally safe; may cause drowsiness","Bala","Bala","Country Mallow","Kurunthotti (Tamil) Berela (Bengali)","Ephedrine vasicinone hypaphorine","Tonic stimulant anti-inflammatory","3-6g powder daily","Post monsoon","Tropical regions"
Atibala,Abutilon indicum,"Strengthening herb for joints and muscles","Joint pain muscle weakness respiratory disorders","Whole plant root powder","India","https://example.com/atibala.jpg","Malvaceae","Whole plant root","Warming sweet","Generally safe; monitor blood pressure","Atibala","Atibala","Indian Abutilon","Thuthi (Tamil) Petari (Bengali)","Mucilage asparagine rutin","Anti-inflammatory demulcent tonic","3-6g powder daily","Post monsoon","Tropical waste places"
Nagbala,Grewia populifolia,"Joint and muscle strengthening herb","Arthritis muscle pain weakness inflammation","Root bark powder","India","https://example.com/nagbala.jpg","Malvaceae","Root bark","Warming sweet astringent","Generally safe; may cause gastric irritation","Nagbala","Nagabala","Dhaman","Dhaman (Tamil) Nagbala (Bengali)","Mucilage tannins flavonoids","Anti-inflammatory tonic astringent","3-6g powder daily","Post monsoon","Dry deciduous forests"
Draksha,Vitis vinifera,"Nutritive and rejuvenative fruit","Weakness anemia respiratory disorders urinary issues","Fresh fruit raisins juice","Mediterranean temperate regions","https://example.com/grapes.jpg","Vitaceae","Fruit","Cooling sweet","Generally safe; diabetics monitor sugar intake","Angur","Draksha","Grapes","Thiratchai (Tamil) Angur (Bengali)","Resveratrol anthocyanins tartaric acid","Nutritive antioxidant cardioprotective","Fresh fruit or 10-20 raisins daily","Summer autumn","Temperate vineyards"
Khajoor,Phoenix dactylifera,"Nutritive fruit for strength and vitality","Weakness debility anemia respiratory disorders","Fresh fruit dried dates","Middle East North Africa","https://example.com/dates.jpg","Arecaceae","Fruit","Warming sweet","Diabetics monitor sugar intake","Khajoor","Kharjura","Dates","Perichchampazham (Tamil) Khejur (Bengali)","Glucose fructose potassium fiber","Nutritive tonic laxative","2-4 dates daily","Year round","Arid tropical regions"
Coconut,Cocos nucifera,"Cooling and nutritive palm fruit","Dehydration fever urinary disorders weakness","Fresh water tender coconut oil","Tropical coastal regions","https://example.com/coconut.jpg","Arecaceae","Water fruit oil","Cooling sweet","Generally safe; monitor cholesterol with oil","Nariyal","Narikela","Coconut","Thengai (Tamil) Narkel (Bengali)","Electrolytes lauric acid capric acid","Hydrating nutritive antimicrobial","1 tender coconut daily","Year round","Tropical coastal areas"
Pomegranate,Punica granatum,"Astringent fruit for digestive and heart health","Diarrhea bleeding heart disorders diabetes","Fresh fruit juice bark","Mediterranean India","https://example.com/pomegranate.jpg","Lythraceae","Fruit peel","Cooling astringent sweet","Generally safe; may interact with blood thinners","Anar","Dadima","Pomegranate","Maadhulai (Tamil) Dalim (Bengali)","Punicalagins anthocyanins ellagic acid","Astringent antioxidant cardioprotective","1 fruit daily or 100ml juice","Winter","Subtropical regions"
Banana,Musa paradisiaca,"Cooling and nutritive fruit","Ulcers diarrhea weakness diabetes","Fresh fruit cooked preparations","Tropical regions worldwide","https://example.com/banana.jpg","Musaceae","Fruit flower stem","Cooling sweet","Generally safe; diabetics monitor sugar","Kela","Kadali","Banana","Vazhai (Tamil) Kala (Bengali)","Potassium vitamin B6 fiber","Nutritive demulcent laxative","1-2 fruits daily","Year round","Tropical humid regions"
Papaya,Carica papaya,"Digestive fruit with enzyme properties","Indigestion constipation worm infections skin disorders","Fresh fruit leaves seeds","Tropical America","https://example.com/papaya.jpg","Caricaceae","Fruit leaves seeds","Cooling sweet","Avoid during pregnancy; may cause abortion","Papita","Erandakarkati","Papaya","Papali (Tamil) Pepe (Bengali)","Papain chymopapain carpaine","Digestive enzyme anthelmintic","1 cup ripe fruit daily","Year round","Tropical regions"
Mango,Mangifera indica,"King of fruits with cooling properties","Heat disorders acidity weakness diarrhea","Fresh fruit leaves bark","India Southeast Asia","https://example.com/mango.jpg","Anacardiaceae","Fruit leaves bark","Cooling sweet","Diabetics monitor sugar intake","Aam","Amra","Mango","Manga (Tamil) Aam (Bengali)","Vitamin A C beta-carotene","Nutritive cooling digestive","1 medium fruit daily","Summer","Tropical regions"
Jackfruit,Artocarpus heterophyllus,"Large nutritive fruit for strength","Weakness debility digestive disorders diarrhea","Fresh fruit seeds leaves","India Southeast Asia","https://example.com/jackfruit.jpg","Moraceae","Fruit seeds","Cooling sweet heavy","May cause indigestion in excess","Kathal","Panasa","Jackfruit","Palaa (Tamil) Kanthal (Bengali)","Vitamin C potassium fiber","Nutritive tonic demulcent","1 cup fruit daily","Summer","Tropical rainforests"
Guava,Psidium guajava,"Astringent fruit for digestive health","Diarrhea dysentery diabetes wounds fever","Fresh fruit leaves","Tropical America","https://example.com/guava.jpg","Myrtaceae","Fruit leaves","Cooling astringent sweet","Generally safe; may cause constipation","Amrud","Amruta","Guava","Koyya (Tamil) Peyara (Bengali)","Vitamin C tannins flavonoids","Astringent antidiabetic antimicrobial","1-2 fruits daily","Winter","Tropical subtropical regions"
Jamun,Syzygium cumini,"Diabetic fruit with astringent properties","Diabetes diarrhea bleeding disorders ulcers","Fresh fruit seeds bark","India Southeast Asia","https://example.com/jamun.jpg","Myrtaceae","Fruit seeds bark","Cooling astringent sweet","May lower blood sugar excessively","Jamun","Jambula","Black Plum","Naaval (Tamil) Kalojam (Bengali)","Anthocyanins jamboline gallic acid","Antidiabetic astringent antimicrobial","5-10 fruits daily","Monsoon","Tropical deciduous forests"
Lemon,Citrus limon,"Citrus fruit with vitamin C and digestive properties","Scurvy indigestion nausea cold cough","Fresh juice zest","Mediterranean subtropical regions","https://example.com/lemon.jpg","Rutaceae","Fruit","Cooling sour","May erode tooth enamel; dilute juice","Nimbu","Jambira","Lemon","Elumichai (Tamil) Lebu (Bengali)","Vitamin C citric acid limonene","Antiscorbutic digestive antimicrobial","1 lemon juice daily","Year round","Subtropical regions"
Orange,Citrus sinensis,"Sweet citrus fruit rich in vitamin C","Scurvy fever weakness digestive disorders","Fresh fruit juice","China India","https://example.com/orange.jpg","Rutaceae","Fruit","Cooling sweet sour","Generally safe; diabetics monitor sugar","Santra","Nagaranga","Orange","Kichili (Tamil) Komla (Bengali)","Vitamin C hesperidin pectin","Nutritive antiscorbutic digestive","1-2 fruits daily","Winter","Subtropical regions"
Lime,Citrus aurantifolia,"Small citrus fruit with digestive properties","Indigestion nausea scurvy fever cold","Fresh juice","Southeast Asia","https://example.com/lime.jpg","Rutaceae","Fruit","Cooling sour","May cause photosensitivity; avoid sun exposure","Nimbu","Jambira","Lime","Elumichai (Tamil) Kagzi Lebu (Bengali)","Vitamin C citric acid essential oils","Digestive antiscorbutic cooling","1 lime juice daily","Year round","Tropical subtropical regions"
Watermelon,Citrullus lanatus,"Cooling fruit for summer heat","Heat stroke dehydration urinary disorders fever","Fresh fruit juice","Africa","https://example.com/watermelon.jpg","Cucurbitaceae","Fruit","Cooling sweet","Generally safe; diabetics monitor sugar","Tarbooz","Kalinga","Watermelon","Thanneer Moothanga (Tamil) Tarmuj (Bengali)","Lycopene citrulline water","Cooling diuretic hydrating","1-2 cups daily","Summer","Warm temperate regions"
Cucumber,Cucumis sativus,"Cooling vegetable for summer heat","Heat fever skin disorders urinary issues","Fresh vegetable juice","India Central Asia","https://example.com/cucumber.jpg","Cucurbitaceae","Fruit","Cooling sweet","Generally safe; may cause indigestion","Kheera","Trapusha","Cucumber","Vellarikkai (Tamil) Shosha (Bengali)","Water potassium vitamin K","Cooling diuretic demulcent","1 cucumber daily","Summer","Temperate regions"
Bottle Gourd,Lagenaria siceraria,"Cooling vegetable for digestive health","Constipation acidity heat disorders obesity","Fresh vegetable juice","Africa Asia","https://example.com/bottlegourd.jpg","Cucurbitaceae","Fruit","Cooling sweet","Generally safe; avoid bitter varieties","Lauki","Alabu","Bottle Gourd","Sorakkai (Tamil) Lau (Bengali)","Water fiber minerals","Cooling laxative diuretic","1 cup daily","Summer monsoon","Tropical regions"
Bitter Gourd,Momordica charantia,"Bitter vegetable for diabetes","Diabetes fever worm infections skin disorders","Fresh vegetable juice","India Southeast Asia","https://example.com/bittergourd.jpg","Cucurbitaceae","Fruit leaves","Cooling bitter","May lower blood sugar excessively","Karela","Karavellaka","Bitter Gourd","Pavakkai (Tamil) Korola (Bengali)","Charantin momordin cucurbitacin","Antidiabetic anthelmintic blood purifier","1 small fruit daily","Year round","Tropical regions"
Ridge Gourd,Luffa acutangula,"Cooling vegetable for digestive health","Constipation piles skin disorders fever","Fresh vegetable","India Southeast Asia","https://example.com/ridgegourd.jpg","Cucurbitaceae","Fruit","Cooling sweet","Generally safe","Turai","Jhinga","Ridge Gourd","Peerkangai (Tamil) Dhundul (Bengali)","Fiber vitamins minerals","Laxative cooling diuretic","1 cup daily","Monsoon","Tropical regions"
Snake Gourd,Trichosanthes cucumerina,"Long cooling vegetable","Fever digestive disorders skin conditions","Fresh vegetable","India Southeast Asia","https://example.com/snakegourd.jpg","Cucurbitaceae","Fruit","Cooling sweet","Generally safe","Chichinda","Chichinga","Snake Gourd","Pudalangai (Tamil) Chichinga (Bengali)","Water fiber vitamins","Cooling laxative nutritive","1 cup daily","Monsoon","Tropical regions"
Ash Gourd,Benincasa hispida,"White gourd for mental and digestive health","Mental disorders epilepsy digestive issues fever","Fresh vegetable juice","India Southeast Asia","https://example.com/ashgourd.jpg","Cucurbitaceae","Fruit","Cooling sweet","Generally safe","Petha","Kushmanda","Ash Gourd","Poosanikai (Tamil) Chalkumra (Bengali)","Water minerals fiber","Cooling nervine laxative","1 cup daily","Winter","Tropical regions"
Pointed Gourd,Trichosanthes dioica,"Nutritive vegetable for digestive health","Constipation fever weakness diabetes","Fresh vegetable","India Bangladesh","https://example.com/pointedgourd.jpg","Cucurbitaceae","Fruit","Cooling sweet","Generally safe","Parwal","Patola","Pointed Gourd","Kombupudalangai (Tamil) Potol (Bengali)","Vitamins minerals fiber","Nutritive laxative cooling","1 cup daily","Monsoon","Tropical regions"
Ivy Gourd,Coccinia grandis,"Small vegetable for diabetes","Diabetes skin disorders fever digestive issues","Fresh vegetable leaves","India Southeast Asia","https://example.com/ivygourd.jpg","Cucurbitaceae","Fruit leaves","Cooling bitter sweet","Generally safe","Kundru","Bimba","Ivy Gourd","Kovakkai (Tamil) Telakucha (Bengali)","Fiber vitamins minerals","Antidiabetic cooling nutritive","1 cup daily","Year round","Tropical regions"
Drumstick,Moringa oleifera,"Nutritive pods and leaves","Malnutrition anemia weakness diabetes","Fresh pods leaves","India Africa","https://example.com/drumstick.jpg","Moringaceae","Pods leaves","Warming pungent","Generally safe; may lower blood pressure","Sahjan","Shigru","Drumstick","Murangakkai (Tamil) Sajina (Bengali)","Vitamins minerals protein","Nutritive galactagogue antidiabetic","1 cup pods or leaves daily","Year round","Tropical regions"
Radish,Raphanus sativus,"Pungent root for digestive health","Indigestion cough cold liver disorders","Fresh root leaves","Mediterranean Asia","https://example.com/radish.jpg","Brassicaceae","Root leaves","Warming pungent","May cause gastric irritation in excess","Mooli","Mulaka","Radish","Mullangi (Tamil) Mula (Bengali)","Vitamin C fiber isothiocyanates","Digestive expectorant diuretic","1 medium radish daily","Winter","Temperate regions"
